Welcome to the Dead House;R. L. Stine;1992;16;5
Children;Horror;;;
The New Girl;R. L. Stine;1989;16;3
Children;Horror;;;
One Day At Horrorland;R. L. Stine;1994;16;5
Children;Horror;;;
Say Cheese and Die;R. L. Stine;1992;16;3
Children;Horror;;;
Deep Trouble;R. L. Stine;2003;16;6
Children;Horror;;;
The Ghost Next Door;R. L. Stine;1992;16;4
Children;Horror;;;
A Night In Terror Tower;R. L. Stine;1992;16;1
Children;Horror;;;
Piano Lessons Can Be Murder;R. L. Stine;1998;16;1
Children;Horror;;;
The Cuckoo Clock of Doom;R. L. Stine;1995;16;3
Children;Horror;;;
The Scarecrow Walks at Midnight;R. L. Stine;1994;16;4
Children;Horror;;;
Monster Blood;R. L. Stine;1992;16;4
Children;Horror;;;
Be Careful What You Wish For...;R. L. Stine;1993;16;6
Children;Horror;;;
The Werewolf of Forever Swamp;R. L. Stine;1993;16;2
Children;Horror;;;
The Curse of the Mummy's Tomb;R. L. Stine;1992;16;2
Children;Horror;;;
Welcome to Camp Nightmare;R. L. Stine;1992;16;5
Children;Horror;;;
Return of the Mummy;R. L. Stine;1996;16;5
Children;Horror;;;
It Came From Beneath the Sink;R. L. Stine;1995;16;5
Children;Horror;;;
Ghost Camp;R. L. Stine;1996;16;7
Children;Horror;;;
The Girl Who Cried Monster;R. L. Stine;1993;16;3
Children;Horror;;;
Phantom of the Auditorium;R. L. Stine;1994;16;2
Children;Horror;;;
Monster Blood II;R. L. Stine;1994;16;5
Children;Horror;;;
The Betrayal;R. L. Stine;1993;16;2
Children;Horror;;;
The Barking Ghost;R. L. Stine;1995;16;6
Children;Horror;;;
Say Cheese and Die-Again!;R. L. Stine;1996;16;3
Children;Horror;;;
Go Eat Worms;R. L. Stine;1994;16;4
Children;Horror;;;
The Haunted School;R. L. Stine;1997;16;4
Children;Horror;;;
Why I'm Afraid of Bees;R. L. Stine;1994;16;3
Children;Horror;;;
Red Rain;R. L. Stine;2012;16;8
Children;Horror;;;
The Headless Ghost;R. L. Stine;1994;16;5
Children;Horror;;;
The Curse of the Camp Cold Lake;R. L. Stine;1997;16;4
Children;Horror;;;
The Wrong Number;R. L. Stine;1990;16;2
Children;Horror;;;
Vampire Breath;R. L. Stine;1992;16;4
Children;Horror;;;
